id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
678344212605748031,Adorable guest suite in Toronto (#A),46978448,Lev,,Willowdale West,43.76942,-79.42951,Private room,130,60,17,2023-10-30,0.69,2,154,3,STR-2205-HMYHHK
678478411556259068,2-floor 1 bedroom with private bathroom& Queen bed,256530474,Helen,,Steeles,43.82168,-79.31368,Private room,62,14,9,2024-04-30,0.35,3,155,3,
678522775806125662,Lovely one-bedroom condo with pool,79381962,Osmary,,Niagara,43.637173553622745,-79.40222901186979,Entire home/apt,132,30,0,,,1,358,0,STR-2311-FRZPHQ
678631113955320230,1 BR Loft in downtown TO / Art space Experience,32980740,Mahrokh,,Regent Park,43.65663,-79.36262,Entire home/apt,250,28,0,,,1,180,0,
678712093249456880,Professionally Managed 1Bed By Nest Suite Living,421123206,Nest,,Waterfront Communities-The Island,43.6434,-79.3814,Entire home/apt,159,30,0,,,9,90,0,
678853345014915968,Cozy 3-bedroom Bungalow In Midtown Toronto,471461248,Zhe Ming,,Tam O'Shanter-Sullivan,43.78115,-79.29274,Private room,,28,30,2023-01-13,1.18,1,0,0,STR-2207-FTKDVC
678928632972748535,B3 Big basement room double bed and sofa @ TTC,467487096,Artem,,Pleasant View,43.77863,-79.32829,Private room,50,1,1,2023-09-02,0.08,4,180,0,STR-2404-FFSPHP
678976988013228016,Luxury Condo Living with Lake View,198527255,Angelee,,Waterfront Communities-The Island,43.64035,-79.38195,Entire home/apt,123,29,7,2024-03-31,0.29,2,153,3,
679169596495361846,Cozy midtown1-bedroom home in Toronto,188868291,Ta Wen,,Yonge-St.Clair,43.69591,-79.39983,Private room,161,2,100,2024-09-02,4.11,1,306,50,STR-2206-GCSKVF
679312437079090402,University Toronto Scarborough Home Experience,85975318,Virtual Business Home,,Morningside,43.789328233091624,-79.19513478042602,Private room,,28,0,,,2,0,0,
670307011251444503,Adorable 2-bedroom place with free parking,371144993,Bailey,,Stonegate-Queensway,43.6325473,-79.4854824,Entire home/apt,130,28,8,2024-04-23,0.31,2,340,1,STR-2204-GPHVHG
670401054309856590,Urban 1-bedroom guest suite at Yonge/Lawrence,362837972,Nigel,,Lawrence Park North,43.72731,-79.39928,Private room,,28,1,2022-11-19,0.05,2,0,0,
